tagName;className;locationX;locationY;isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;shop-delivery-action js-shop-delivery;1033;5973;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;5999;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;6026;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;6137;True;False;False;True;False;sony kdl-40we660
em;;498;6168;False;False;False;True;False;(125 opinii)
a;;571;6170;True;False;False;False;False;telewizor led
a;product-brand;646;6170;True;False;False;False;False;sony
a;energy-card js-energy-card;786;6200;True;False;False;False;False;karta produktu
a;js-dictionary;679;6303;True;False;False;False;False;ekran
span;attribute-value;715;6303;False;False;False;True;False;40 cali, full hd, 1920 x 1080
a;js-dictionary;679;6323;True;False;False;False;False;smart tv
span;attribute-value;732;6323;False;False;False;False;False;tak
a;js-dictionary;679;6343;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;6343;False;False;False;True;False;50 hz
span;attribute-name;679;6363;False;False;False;False;False;funkcje
a;fancydict;726;6363;True;False;False;False;False;hdr
a;fancydict;757;6363;True;False;False;False;False;smart
a;fancydict;794;6363;True;False;False;False;False;wi-fi
a;fancydict;829;6363;True;False;False;False;False;usb - multimedia
a;fancydict;679;6363;True;False;False;False;False;usb - nagrywanie
a;fancydict;745;6378;True;False;False;True;False;hdmi x2
a;fancydict;798;6378;True;False;False;True;False;usb x2
div;name;695;6420;False;False;False;False;False;ekran:
div;value;740;6420;False;False;False;True;False;40 cali
a;variant-itemjs-variant-item variant-one;685;6454;True;False;False;False;False;
a;variant-itemjs-variant-item active-item variant-one;685;6491;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;6528;True;False;False;False;False;
a;depositories-button js-depositories;627;6514;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;6513;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;6225;False;True;False;True;True;1 799 zł
span;price-instalments-label;1072;6295;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;6295;True;True;True;True;True;35,98 zł x 50 rat 0%
a;;1033;6400;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;6425;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;6451;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;6478;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;6569;True;False;False;True;False;samsung qled qe49q67rat
em;;498;6600;False;False;False;True;False;(19 opinii)
a;;564;6602;True;False;False;False;False;telewizor qled
a;product-brand;649;6602;True;False;False;False;False;samsung
a;energy-card js-energy-card;786;6632;True;False;False;False;False;karta produktu
a;js-dictionary;679;6735;True;False;False;False;False;ekran
span;attribute-value;715;6735;False;False;False;True;False;49 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;6755;True;False;False;False;False;smart tv
span;attribute-value;732;6755;False;False;False;False;False;tak
span;attribute-name;679;6775;False;False;False;False;False;funkcje
a;fancydict;726;6775;True;False;False;False;False;hdr
a;fancydict;757;6775;True;False;False;False;False;smart
a;fancydict;794;6775;True;False;False;False;False;wi-fi
a;fancydict;829;6775;True;False;False;False;False;dlna
a;fancydict;867;6775;True;False;False;False;False;usb - multimedia
a;fancydict;679;6775;True;False;False;False;False;usb - nagrywanie
a;fancydict;745;6790;True;False;False;False;False;bluetooth
a;fancydict;805;6790;True;False;False;False;False;obsługa głosowa
a;fancydict;898;6790;True;False;False;True;False;hdmi x4
a;fancydict;951;6790;True;False;False;True;False;usb x2
div;name;695;6832;False;False;False;False;False;ekran:
div;value;740;6832;False;False;False;True;False;49 cali
a;variant-itemjs-variant-item active-item variant-one;685;6866;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;6903;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;6940;True;False;False;False;False;
a;depositories-button js-depositories;627;6869;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;6868;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;6560;False;True;False;True;True;3 599 zł
span;price-instalments-label;1072;6630;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;6630;True;True;True;True;True;71,98 zł x 50 rat 0%
a;;1033;6735;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;6760;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;6786;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;6814;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;6924;True;False;False;True;False;samsung ue43ru7102k
em;;498;6955;False;False;False;True;False;(21 opinii)
a;;564;6957;True;False;False;False;False;telewizor led
a;product-brand;639;6957;True;False;False;False;False;samsung
a;energy-card js-energy-card;786;6987;True;False;False;False;False;karta produktu
a;js-dictionary;679;7090;True;False;False;False;False;ekran
span;attribute-value;715;7090;False;False;False;True;False;43 cale, 4k uhd, 3840 x 2160
a;js-dictionary;679;7110;True;False;False;False;False;smart tv
span;attribute-value;732;7110;False;False;False;False;False;tak
a;js-dictionary;679;7130;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;7130;False;False;False;True;False;50 hz
span;attribute-name;679;7150;False;False;False;False;False;funkcje
a;fancydict;726;7150;True;False;False;False;False;hdr
a;fancydict;757;7150;True;False;False;False;False;smart
a;fancydict;794;7150;True;False;False;False;False;wi-fi
a;fancydict;829;7150;True;False;False;False;False;dlna
a;fancydict;867;7150;True;False;False;False;False;usb - multimedia
a;fancydict;679;7165;True;False;False;False;False;bluetooth
a;fancydict;739;7165;True;False;False;True;False;hdmi x3
a;fancydict;792;7165;True;False;False;True;False;usb x2
div;name;695;7207;False;False;False;False;False;ekran:
div;value;740;7207;False;False;False;True;False;43 cale
a;variant-itemjs-variant-item active-item variant-one;685;7241;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;7278;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;7315;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;7352;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;7389;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;7426;True;False;False;False;False;
a;depositories-button js-depositories;627;7244;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;7243;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;6915;False;True;False;True;True;1 799 zł
span;price-instalments-label;1072;6985;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;6985;True;True;True;True;True;35,98 zł x 50 rat 0%
a;;1033;7090;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;7115;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;7141;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;7169;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;7299;True;False;False;True;False;samsung ue55ru7472u
em;;498;7330;False;False;False;True;False;(3 opinie)
a;;560;7332;True;False;False;False;False;telewizor led
a;product-brand;635;7332;True;False;False;False;False;samsung
a;energy-card js-energy-card;786;7362;True;False;False;False;False;karta produktu
a;js-dictionary;679;7465;True;False;False;False;False;ekran
span;attribute-value;715;7465;False;False;False;True;False;55 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;7485;True;False;False;False;False;smart tv
span;attribute-value;732;7485;False;False;False;False;False;tak
a;js-dictionary;679;7505;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;7505;False;False;False;True;False;50 hz
span;attribute-name;679;7525;False;False;False;False;False;funkcje
a;fancydict;726;7525;True;False;False;False;False;hdr
a;fancydict;757;7525;True;False;False;False;False;smart
a;fancydict;794;7525;True;False;False;False;False;wi-fi
a;fancydict;829;7525;True;False;False;False;False;dlna
a;fancydict;867;7525;True;False;False;False;False;usb - multimedia
a;fancydict;679;7540;True;False;False;False;False;bluetooth
a;fancydict;739;7540;True;False;False;False;False;obsługa głosowa
a;fancydict;832;7540;True;False;False;True;False;hdmi x3
a;fancydict;885;7540;True;False;False;True;False;usb x2
div;name;695;7582;False;False;False;False;False;ekran:
div;value;740;7582;False;False;False;True;False;55 cali
a;variant-itemjs-variant-item variant-one;685;7616;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;7653;True;False;False;False;False;
a;variant-itemjs-variant-item active-item variant-one;685;7690;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;7727;True;False;False;False;False;
a;depositories-button js-depositories;627;7619;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;7618;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;7290;False;True;False;True;True;3 099 zł
span;price-instalments-label;1072;7360;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;7360;True;True;True;True;True;61,98 zł x 50 rat 0%
a;;1033;7465;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;7490;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;7516;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;7544;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;7674;True;False;False;True;False;philips 55oled803/12
em;;498;7705;False;False;False;True;False;(73 opinie)
a;;567;7707;True;False;False;False;False;telewizor oled
a;product-brand;652;7707;True;False;False;False;False;philips
a;energy-card js-energy-card;786;7737;True;False;False;False;False;karta produktu
a;js-dictionary;679;7840;True;False;False;False;False;ekran
span;attribute-value;715;7840;False;False;False;True;False;55 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;7860;True;False;False;False;False;smart tv
span;attribute-value;732;7860;False;False;False;False;False;tak
a;js-dictionary;679;7880;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;7880;False;False;False;True;False;100 hz
span;attribute-name;679;7900;False;False;False;False;False;funkcje
a;fancydict;726;7900;True;False;False;False;False;hdr
a;fancydict;757;7900;True;False;False;False;False;android tv
a;fancydict;824;7900;True;False;False;False;False;smart
a;fancydict;861;7900;True;False;False;False;False;wi-fi
a;fancydict;896;7900;True;False;False;False;False;dlna
a;fancydict;679;7900;True;False;False;False;False;usb - multimedia
a;fancydict;744;7915;True;False;False;False;False;usb - nagrywanie
a;fancydict;841;7915;True;False;False;False;False;bluetooth
a;fancydict;901;7915;True;False;False;False;False;obsługa głosowa
a;fancydict;679;7930;True;False;False;False;False;ambilight
a;fancydict;737;7930;True;False;False;True;False;hdmi x4
