tagName;className;location['x'];location['y'];isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;;564;1827;True;False;False;False;False;telewizor led
a;product-brand;639;1827;True;False;False;False;False;samsung
a;energy-card js-energy-card;786;1857;True;False;False;False;False;karta produktu
a;js-dictionary;679;1960;True;False;False;False;False;ekran
span;attribute-value;715;1960;False;False;False;True;False;40 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;1980;True;False;False;False;False;smart tv
span;attribute-value;732;1980;False;False;False;False;False;tak
a;js-dictionary;679;2000;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;2000;False;False;False;True;False;50 hz
span;attribute-name;679;2020;False;False;False;False;False;funkcje
a;fancydict;726;2020;True;False;False;False;False;hdr
a;fancydict;757;2020;True;False;False;False;False;smart
a;fancydict;794;2020;True;False;False;False;False;wi-fi
a;fancydict;829;2020;True;False;False;False;False;dlna
a;fancydict;867;2020;True;False;False;False;False;usb - multimedia
a;fancydict;679;2020;True;False;False;True;False;hdmi x3
a;fancydict;697;2035;True;False;False;True;False;usb x2
a;depositories-button js-depositories;627;2113;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;2112;True;False;False;False;False;zadzwoń i zamów
span;tab-price;1165;1796;False;True;False;True;True;- 1 425 zł
div;price-normal selenium-price-normal;1032;1822;False;True;False;True;True;1 499 zł
span;price-instalments-label;1070;1892;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1123;1892;True;True;True;True;True;29,98 zł x 50 rat 0%
a;;1032;1997;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1032;2022;True;False;False;False;False;do odbioru: już jutro!
span;;1054;2048;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1032;2076;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;2169;True;False;False;True;False;samsung qled qe55q67rat
em;;498;2200;False;False;False;True;False;(104 opinie)
a;;574;2202;True;False;False;False;False;telewizor qled
a;product-brand;659;2202;True;False;False;False;False;samsung
a;energy-card js-energy-card;786;2232;True;False;False;False;False;karta produktu
a;js-dictionary;679;2335;True;False;False;False;False;ekran
span;attribute-value;715;2335;False;False;False;True;False;55 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;2355;True;False;False;False;False;smart tv
span;attribute-value;732;2355;False;False;False;False;False;tak
span;attribute-name;679;2375;False;False;False;False;False;funkcje
a;fancydict;726;2375;True;False;False;False;False;hdr
a;fancydict;757;2375;True;False;False;False;False;smart
a;fancydict;794;2375;True;False;False;False;False;wi-fi
a;fancydict;829;2375;True;False;False;False;False;dlna
a;fancydict;867;2375;True;False;False;False;False;usb - multimedia
a;fancydict;679;2375;True;False;False;False;False;usb - nagrywanie
a;fancydict;745;2390;True;False;False;False;False;bluetooth
a;fancydict;805;2390;True;False;False;False;False;obsługa głosowa
a;fancydict;898;2390;True;False;False;True;False;hdmi x4
a;fancydict;951;2390;True;False;False;True;False;usb x2
div;name;695;2432;False;False;False;False;False;ekran:
div;value;740;2432;False;False;False;True;False;55 cali
a;
											variant-item
											js-variant-item
											 variant-one
											;685;2466;True;False;False;False;False;
a;
											variant-item
											js-variant-item
											 active-item variant-one
											;685;2503;True;False;False;False;False;
a;
											variant-item
											js-variant-item
											 variant-one
											;685;2540;True;False;False;False;False;
a;depositories-button js-depositories;627;2469;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;2468;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;2160;False;True;False;True;True;3 999 zł
span;price-instalments-label;1072;2230;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;2230;True;True;True;True;True;79,98 zł x 50 rat 0%
a;;1033;2335;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;2360;True;False;False;False;False;do odbioru: już jutro!
span;;1055;2386;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;2413;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;2524;True;False;False;True;False;lg oled77w9
a;;510;2557;True;False;False;False;False;telewizor oled
a;product-brand;595;2557;True;False;False;False;False;lg
a;energy-card js-energy-card;786;2587;True;False;False;False;False;karta produktu
a;js-dictionary;679;2690;True;False;False;False;False;ekran
span;attribute-value;715;2690;False;False;False;True;False;77 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;2710;True;False;False;False;False;smart tv
span;attribute-value;732;2710;False;False;False;False;False;tak
a;js-dictionary;679;2730;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;2730;False;False;False;True;False;100 hz
span;attribute-name;679;2750;False;False;False;False;False;funkcje
a;fancydict;726;2750;True;False;False;False;False;hdr
a;fancydict;757;2750;True;False;False;False;False;smart
a;fancydict;794;2750;True;False;False;False;False;wi-fi
a;fancydict;829;2750;True;False;False;False;False;usb - multimedia
